map,scenario,time_limit_sec,algorithm,agents,lcbs_c1,lcbs_c2,alg_c1,alg_c2,match
room-64-64-8,1,120,BBMOCBS_k1,5,241,641,241,641,1
room-64-64-8,1,120,BBMOCBS_k5,5,241,641,241,620,0
room-64-64-8,1,120,BBMOCBS_k10,5,241,641,241,619,0
room-64-64-8,1,120,BBMOCBS_pex,5,241,641,,,0
room-64-64-8,1,120,BBMOCBS_eps,5,241,641,,,0
room-64-64-8,2,120,BBMOCBS_k1,5,346,978,346,978,1
room-64-64-8,2,120,BBMOCBS_k5,5,346,978,346,942,0
room-64-64-8,2,120,BBMOCBS_k10,5,346,978,346,938,0
room-64-64-8,2,120,BBMOCBS_pex,5,346,978,,,0
room-64-64-8,2,120,BBMOCBS_eps,5,346,978,,,0
room-64-64-8,3,120,BBMOCBS_k1,5,322,855,322,855,1
room-64-64-8,3,120,BBMOCBS_k5,5,322,855,322,832,0
room-64-64-8,3,120,BBMOCBS_k10,5,322,855,322,832,0
room-64-64-8,3,120,BBMOCBS_pex,5,322,855,,,0
room-64-64-8,3,120,BBMOCBS_eps,5,322,855,,,0
room-64-64-8,4,120,BBMOCBS_k1,5,327,888,327,888,1
room-64-64-8,4,120,BBMOCBS_k5,5,327,888,327,868,0
room-64-64-8,4,120,BBMOCBS_k10,5,327,888,327,861,0
room-64-64-8,4,120,BBMOCBS_pex,5,327,888,,,0
room-64-64-8,4,120,BBMOCBS_eps,5,327,888,,,0
room-64-64-8,5,120,BBMOCBS_k1,5,380,989,380,989,1
room-64-64-8,5,120,BBMOCBS_k5,5,380,989,380,962,0
room-64-64-8,5,120,BBMOCBS_k10,5,380,989,380,962,0
room-64-64-8,5,120,BBMOCBS_pex,5,380,989,,,0
room-64-64-8,5,120,BBMOCBS_eps,5,380,989,,,0
room-64-64-8,6,120,BBMOCBS_k1,5,367,932,367,932,1
room-64-64-8,6,120,BBMOCBS_k5,5,367,932,365,923,0
room-64-64-8,6,120,BBMOCBS_k10,5,367,932,365,921,0
room-64-64-8,6,120,BBMOCBS_pex,5,367,932,,,0
room-64-64-8,6,120,BBMOCBS_eps,5,367,932,,,0
room-64-64-8,7,120,BBMOCBS_k1,5,401,1036,401,1036,1
room-64-64-8,7,120,BBMOCBS_k5,5,401,1036,400,1004,0
room-64-64-8,7,120,BBMOCBS_k10,5,401,1036,401,1007,0
room-64-64-8,7,120,BBMOCBS_pex,5,401,1036,,,0
room-64-64-8,7,120,BBMOCBS_eps,5,401,1036,,,0
room-64-64-8,8,120,BBMOCBS_k1,5,303,818,303,818,1
room-64-64-8,8,120,BBMOCBS_k5,5,303,818,303,803,0
room-64-64-8,8,120,BBMOCBS_k10,5,303,818,303,788,0
room-64-64-8,8,120,BBMOCBS_pex,5,303,818,,,0
room-64-64-8,8,120,BBMOCBS_eps,5,303,818,,,0
room-64-64-8,9,120,BBMOCBS_k1,5,334,936,334,936,1
room-64-64-8,9,120,BBMOCBS_k5,5,334,936,334,907,0
room-64-64-8,9,120,BBMOCBS_k10,5,334,936,334,906,0
room-64-64-8,9,120,BBMOCBS_pex,5,334,936,,,0
room-64-64-8,9,120,BBMOCBS_eps,5,334,936,,,0
room-64-64-8,10,120,BBMOCBS_k1,5,387,1089,387,1089,1
room-64-64-8,10,120,BBMOCBS_k5,5,387,1089,386,1073,0
room-64-64-8,10,120,BBMOCBS_k10,5,387,1089,387,1064,0
room-64-64-8,10,120,BBMOCBS_pex,5,387,1089,,,0
